집계일자,영업소코드,입출구구분코드,TCS하이패스구분코드,고속도로운영기관구분코드,영업형태구분코드,1종교통량,2종교통량,3종교통량,4종교통량,5종교통량,6종교통량,총교통량
20100301,155,1,1,0,0,2109,126,78,67,51,101,2532
20100301,155,1,2,0,0,902,27,69,0,0,23,1021
20100301,156,0,1,0,0,3685,147,93,91,169,104,4289
20100301,156,0,2,0,0,1776,79,448,0,0,32,2335
20100301,156,1,1,0,0,3950,157,109,73,128,136,4553
20100301,156,1,2,0,0,1593,56,218,0,0,19,1886
20100301,157,0,1,0,0,1331,50,33,30,96,42,1582
20100301,157,0,2,0,0,647,12,22,0,0,6,687
20100301,157,1,1,0,0,1842,53,34,24,40,66,2059
20100301,157,1,2,0,0,808,14,28,0,0,12,862
20100301,158,0,1,0,0,7085,184,93,107,225,231,7925
20100301,158,0,2,0,0,3054,47,319,0,0,56,3476
20100301,158,1,1,0,0,7531,211,134,126,246,270,8518
20100301,158,1,2,0,0,2997,56,632,0,0,41,3726
20100301,159,0,1,0,0,2662,79,37,30,30,64,2902
20100301,159,0,2,0,0,1246,18,59,0,0,23,1346
20100301,159,1,1,0,0,2486,73,31,16,34,76,2716
20100301,159,1,2,0,0,1105,26,73,0,0,19,1223
20100301,160,0,1,0,0,1242,41,22,12,35,34,1386
20100301,160,0,2,0,0,639,23,33,0,0,6,701
20100301,160,1,1,0,0,1229,44,18,14,47,46,1398
20100301,160,1,2,0,0,541,19,33,0,0,2,595
20100301,161,0,1,0,0,475,28,8,6,11,14,542
20100301,161,0,2,0,0,240,13,7,0,0,7,267
20100301,161,1,1,0,0,453,36,11,8,13,14,535
20100301,161,1,2,0,0,242,7,6,0,0,4,259
20100301,162,0,1,0,0,903,44,22,16,16,21,1022
20100301,162,0,2,0,0,455,6,12,0,0,5,478
20100301,162,1,1,0,0,866,51,34,13,27,36,1027
20100301,162,1,2,0,0,406,10,13,0,0,4,433
20100301,163,0,1,0,0,3360,186,90,58,91,88,3873
20100301,163,0,2,0,0,1567,36,135,0,0,28,1766
20100301,163,1,1,0,0,2804,194,108,35,87,116,3344
20100301,163,1,2,0,0,1245,37,132,0,0,25,1439
20100301,164,0,1,0,0,2142,30,4,13,5,58,2252
20100301,164,0,2,0,0,1184,9,44,0,0,25,1262
20100301,164,1,1,0,0,1251,27,11,12,13,58,1372
20100301,164,1,2,0,0,588,7,44,0,0,18,657
20100301,165,0,1,0,0,761,18,11,18,35,21,864
20100301,165,0,2,0,0,419,3,40,0,0,5,467
20100301,165,1,1,0,0,628,15,9,10,27,26,715
20100301,165,1,2,0,0,314,3,35,0,0,2,354
20100301,166,0,1,0,0,1272,55,17,23,92,20,1479
20100301,166,0,2,0,0,706,31,43,0,0,10,790
20100301,166,1,1,0,0,1531,64,17,8,94,50,1764
20100301,166,1,2,0,0,825,42,53,0,0,12,932
20100301,167,0,1,0,0,14011,420,272,303,227,349,15582
20100301,167,0,2,0,0,7439,132,880,0,0,133,8584
20100301,167,1,1,0,0,12422,418,287,223,218,454,14022
20100301,167,1,2,0,0,5785,130,875,0,0,82,6872
20100301,168,0,1,0,0,1120,12,2,4,8,28,1174
20100301,168,0,2,0,0,621,7,8,0,0,7,643
20100301,168,1,1,0,0,430,9,6,3,9,17,474
20100301,168,1,2,0,0,209,6,6,0,0,3,224
20100301,169,0,1,0,0,1289,36,11,18,39,51,1444
20100301,169,0,2,0,0,759,8,38,0,0,11,816
20100301,169,1,1,0,0,1018,34,10,15,41,48,1166
20100301,169,1,2,0,0,536,6,26,0,0,6,574
20100301,170,0,1,0,0,429,19,24,29,15,12,528
20100301,170,0,2,0,0,289,1,21,0,0,2,313
20100301,170,1,1,0,0,341,22,24,25,21,22,455
20100301,170,1,2,0,0,220,4,24,0,0,2,250
20100301,171,0,1,0,0,2229,33,39,6,11,91,2409
20100301,171,0,2,0,0,1868,9,138,0,1,53,2069
20100301,171,1,1,0,0,2501,51,40,9,8,160,2769
20100301,171,1,2,0,0,2075,14,126,0,0,65,2280
20100301,172,0,1,0,0,4851,335,148,124,52,220,5730
20100301,172,0,2,0,0,4094,130,84,0,0,157,4465
20100301,172,1,1,0,0,4419,302,134,99,47,266,5267
20100301,172,1,2,0,0,3349,105,78,0,0,116,3648
20100301,173,0,1,0,0,4709,521,274,263,256,172,6195
20100301,173,0,2,0,0,3866,276,589,0,0,100,4831
20100301,173,1,1,0,0,4132,419,214,251,154,282,5452
20100301,173,1,2,0,0,3064,246,134,0,0,123,3567
20100301,174,0,1,0,0,8804,178,61,32,142,374,9591
20100301,174,0,2,0,0,4892,57,349,5,0,138,5441
20100301,174,1,1,0,0,8248,171,60,26,144,542,9191
20100301,174,1,2,0,0,4164,49,344,2,0,127,4686
20100301,175,0,1,0,0,1410,127,53,45,13,72,1720
20100301,175,0,2,0,0,866,28,52,0,0,27,973
20100301,175,1,1,0,0,2227,153,57,37,21,124,2619
20100301,175,1,2,0,0,1575,37,104,0,0,44,1760
20100301,176,0,1,0,0,3799,257,107,157,126,141,4587
